features  importance
200            user_user_activity_ratio_b11_resInv    0.147116
201                             video_author_ratio    0.146363
202                  user_user_activity_day_var_b3    0.145304
203                         user_user_activity_var    0.145199
204                     user_user_activity_mod_var    0.143811
205                      user_user_activity_var_b3    0.143580
206                     user_app_launch_abs_energy    0.143460
207                 user_user_activity_mean_change    0.143040
208                    user_user_activity_ratio_f3    0.142898
209                    user_user_activity_kurtosis    0.142510
210                        user_user_activity_rbrs    0.140735
211                           user_app_launch_rbrs    0.140408
212                        user_app_launch_rate_f1    0.139800
213             user_user_activity_ratio_f3_resInv    0.138745
214                           user_app_launch_tras    0.138467
215                      user_user_activity_day_f1    0.137246
216               user_user_activity_day_f2_resInv    0.136483
217                 user_app_launch_rate_f3_resInv    0.133736
218                    user_user_activity_autocorr    0.133033
219                    user_user_activity_ratio_f4    0.132246
220              user_user_activity_rate_f1_resInv    0.130074
221             user_user_activity_ratio_f4_resInv    0.128962
222                       user_action0_page0_ratio    0.128662
223                               user_page0_ratio    0.127988
224                        user_action_type0_ratio    0.127006
225                         user_user_activity_max    0.126936
226                        user_user_activity_tras    0.125591
227                       user_page0_action0_ratio    0.123493
228                            user_app_launch_max    0.123284
229                    user_user_activity_ratio_f5    0.123175
230                     user_user_activity_rate_f1    0.123035
231             user_user_activity_ratio_f5_resInv    0.121387
232                        user_app_launch_rate_f2    0.121142
233                user_user_activity_frequency_f1    0.120595
234                 user_app_launch_rate_f4_resInv    0.117272
235                  user_user_activity_var_lt_std    0.117124
236                  user_user_activity_abs_energy    0.116405
237               user_user_activity_day_f3_resInv    0.115601
238             user_user_activity_ratio_f0_resInv    0.115509
239                        user_user_activity_prda    0.113217
240                      user_user_activity_day_f2    0.113173
241                               user_page3_ratio    0.110900
242                        user_action_type3_ratio    0.110651
243                       user_action0_page3_ratio    0.109708
244                        user_app_launch_rate_f3    0.109229
245                      user_user_activity_median    0.107716
246                      user_app_launch_last_time    0.107685
247                   user_app_launch_workday_rate    0.105628
248                 user_app_launch_activity_ratio    0.105128
249                       user_action0_page1_ratio    0.104703
250              user_user_activity_rate_f2_resInv    0.104561
251                 user_app_launch_rate_f5_resInv    0.104346
252                         user_app_launch_median    0.104287
253                           user_app_launch_mean    0.103948
254                               user_page1_ratio    0.102707
255                        user_action_type1_ratio    0.102449
256       user_user_activity_register_device_ratio    0.102402
257       user_user_activity_device_register_ratio    0.101228
258                        user_user_activity_lsam    0.100456
259                     user_user_activity_rate_f2    0.100115
260               user_user_activity_day_f4_resInv    0.099668
261                        user_user_activity_lsbm    0.098869
262                        user_app_launch_rate_f4    0.098663
263                user_user_activity_frequency_f2    0.098508
264                      user_user_activity_day_f3    0.096984
265                        user_user_activity_mean    0.095518
266                       user_page1_action0_ratio    0.095335
267         user_user_activity_register_type_ratio    0.095096
268                       user_page3_action0_ratio    0.095038
269           user_user_activity_device_type_ratio    0.092395
270               user_user_activity_register_time    0.091484
271              user_user_activity_rate_f3_resInv    0.089309
272                        user_app_launch_rate_f5    0.087151
273               user_user_activity_day_f5_resInv    0.086253
274                      user_user_activity_day_f4    0.086148
275                               user_page2_ratio    0.084628
276                     user_user_activity_rate_f3    0.084491
277                        user_action_type2_ratio    0.084266
278                        user_user_activity_mode    0.084226
279                       user_action0_page2_ratio    0.083860
280                user_user_activity_frequency_f3    0.081264
281              user_user_activity_rate_f4_resInv    0.077516
282                      user_user_activity_day_f5    0.075522
283                       user_page0_action2_ratio    0.073611
284                     user_user_activity_rate_f4    0.072571
285                       user_page0_action1_ratio    0.072439
286                user_user_activity_frequency_f4    0.069386
287              user_user_activity_rate_f5_resInv    0.068076
288          user_app_launch_register_device_ratio    0.067153
289          user_app_launch_device_register_ratio    0.065828
290                       user_page2_action0_ratio    0.065226
291                       user_action2_page0_ratio    0.064773
292                     user_user_activity_rate_f5    0.063905
293                user_user_activity_workday_rate    0.063850
294                 user_user_activity_workday_day    0.063328
295            user_app_launch_register_type_ratio    0.062781
296                user_user_activity_frequency_f5    0.062770
297                       user_action1_page0_ratio    0.058163
298              user_app_launch_device_type_ratio    0.056751
299                  user_user_activity_first_time    0.055972
300                  user_app_launch_register_time    0.055537
301           user_user_activity_workday_frequency    0.052157
302                       user_page3_action1_ratio    0.048365
303                       user_page1_action1_ratio    0.047485
304                   user_user_activity_last_time    0.045908
305                       user_action1_page3_ratio    0.038910
306                       user_page3_action2_ratio    0.038818
307                       user_action1_page1_ratio    0.037187
308                       user_action2_page3_ratio    0.036814
309                               user_page4_ratio    0.032738
310                       user_action0_page4_ratio    0.032463
311                           register_type_device    0.032154
312                        user_action_type4_ratio    0.031663
313                       user_page4_action0_ratio    0.026057
314                            user_in_author_rate    0.025008
315        register_day_register_type_device_ratio    0.024975
316                     user_app_launch_first_time    0.023858
317                     register_type_device_ratio    0.023793
318                     device_type_register_ratio    0.022890
319                    user_app_launch_video_ratio    0.022204
320                        register_day_type_ratio    0.021316
321                      user_video_create_gap_b11    0.020535
322              user_video_create_ratio_b6_resInv    0.020394
323                       user_page0_action3_ratio    0.020389
324                   user_video_create_abs_energy    0.019424
325                          user_video_create_max    0.019155
326                user_video_create_day_b9_resInv    0.018939
327              user_video_create_ratio_b9_resInv    0.018775
328                      user_video_create_day_b12    0.018625
329                       user_video_create_day_b6    0.018582
330                       user_video_create_day_b9    0.018571
331                          user_video_create_gap    0.018444
332                       user_page2_action1_ratio    0.018391
333                     user_video_create_ratio_b6    0.018327
334                       user_video_create_gap_b8    0.018179
335                     user_video_create_ratio_b9    0.018146
336                      user_video_create_rate_b6    0.018093
337               user_video_create_day_b12_resInv    0.017823
338                user_video_create_day_b6_resInv    0.017652
339               user_video_create_rate_b9_resInv    0.017637
340                         user_video_create_mean    0.017444
341                       user_action2_page2_ratio    0.017435
342                      user_video_create_rate_b9    0.017422
343                     user_video_create_ratio_b3    0.017383
344               user_video_create_rate_b3_resInv    0.017357
345                 user_video_create_frequency_b9    0.017329
346               user_video_create_rate_b6_resInv    0.017326
347                       user_video_create_median    0.017313
348                       user_video_create_gap_b5    0.017255
349                user_video_create_day_f0_resInv    0.017224
350                       user_video_create_day_f0    0.017173
351              user_video_create_rate_b12_resInv    0.017151
352              user_video_create_ratio_b3_resInv    0.016913
353             user_video_create_ratio_b12_resInv    0.016705
354                       user_video_create_day_b3    0.016678
355                       user_action1_page2_ratio    0.016618
356                 user_video_create_frequency_f0    0.016588
357                    user_video_create_ratio_b12    0.016536
358                 user_video_create_frequency_b3    0.016515
359                      user_video_create_rate_b3    0.016473
360                 user_video_create_frequency_b6    0.016418
361                       user_page2_action2_ratio    0.016198
362                user_video_create_day_b3_resInv    0.016161
363              user_video_create_ratio_f0_resInv    0.015936
364                user_video_create_frequency_b12    0.015797
365               user_video_create_rate_f0_resInv    0.015622
366                       user_action3_page0_ratio    0.015491
367        user_video_create_register_device_ratio    0.015337
368              user_video_create_ratio_f2_resInv    0.015108
369                      user_video_create_rate_f0    0.015102
370                     user_video_create_rate_b12    0.015092
371                       user_video_create_cid_ce    0.014757
372        register_day_device_type_register_ratio    0.014741
373                         user_video_create_mode    0.014580
374          user_video_create_register_type_ratio    0.014485
375            user_video_create_device_type_ratio    0.014425
376                         user_video_create_bent    0.014299
377                       user_page3_action3_ratio    0.014282
378                         user_video_create_lsam    0.014232
379                          user_video_create_cbm    0.014114
380                            register_type_ratio    0.014086
381                      user_video_create_day_var    0.013811
382                  user_video_create_day_var_b11    0.013736
383                          user_video_create_var    0.013667
384        user_video_create_device_register_ratio    0.013477
385                      user_video_create_var_b11    0.013368
386                         user_video_create_lsbm    0.013350
387                         user_video_create_rbrs    0.013250
388                          user_video_create_min    0.013214
389                      register_day_device_ratio    0.013169
390                     user_video_create_ratio_f2    0.013061
391                          user_video_create_cam    0.012888
392                         user_user_activity_min    0.012791
393                   user_video_create_day_var_b8    0.012700
394                       user_video_create_day_f2    0.012652
395                user_video_create_register_time    0.012417
396                       user_action3_page3_ratio    0.012167
397                         user_video_create_prda    0.012101
398                       user_video_create_var_b8    0.011616
399                     user_video_create_ratio_f4    0.011543
400              user_video_create_ratio_f4_resInv    0.011429
401                      user_video_create_rate_f2    0.011299
402                       user_page1_action3_ratio    0.011267
403                user_video_create_day_f2_resInv    0.011189
404               user_video_create_rate_f2_resInv    0.011155
405                     user_video_create_ratio_b0    0.011016
406                   user_video_create_first_time    0.010652
407                         user_video_create_tras    0.010516
408               user_video_create_rate_b0_resInv    0.010433
409                   user_video_create_day_var_b5    0.010395
410                      user_video_create_rate_b0    0.010132
411                              device_type_ratio    0.009865
412                       user_video_create_day_b0    0.009714
413                       user_video_create_var_b5    0.009706
414                 user_video_create_frequency_f2    0.009658
415                user_video_create_day_b0_resInv    0.009403
416                       user_video_create_day_f4    0.008934
417                user_video_create_day_f4_resInv    0.008830
418                       user_action3_page1_ratio    0.008329
419               user_video_create_rate_f4_resInv    0.008262
420              user_video_create_ratio_b0_resInv    0.008158
421                    user_video_create_last_time    0.007805
422                 user_video_create_frequency_f4    0.007708
423                                   register_day    0.007443
424                      user_video_create_rate_f4    0.007007
425                       user_page4_action1_ratio    0.006632
426                       user_action1_page4_ratio    0.005270
427             user_user_activity_only_in_weekend    0.003869
428                user_app_launch_only_in_weekend    0.003576
