                                          features  importance
423                        user_action_type4_ratio    0.000000
424                               user_page0_ratio    0.000000
425                   user_video_create_day_var_b5    0.000000
426                 user_user_activity_workday_day    0.000000
427                       user_action2_page1_ratio    0.000000
428                        user_app_launch_mod_var    0.000000
429                        user_action_type3_ratio    0.000000
430                       user_video_create_day_f0    0.000000
431                       user_page1_action5_ratio    0.000000
432                        user_action_type2_ratio    0.000000
433                user_video_create_day_b0_resInv    0.000000
434                       user_action5_page0_ratio    0.000000
435           user_user_activity_workday_frequency    0.000000
436                        user_app_launch_rate_b0    0.000000
437                  user_user_activity_var_lt_std    0.000000
438                       user_video_create_day_f2    0.000000
