feature importance of lgb for kuaishou ,2018-06-20_10-16
user_user_activity_rate_f5_spanInv,0
user_user_activity_rate_f5_resInv,0
user_user_activity_rate_f5,0
user_user_activity_rate_f3_spanResInv,0
user_user_activity_rate_f3_spanInv,0
user_user_activity_rate_f3_resInv,0
user_user_activity_rate_f3,0
user_user_activity_rate_f1_spanResInv,0
user_user_activity_rate_f1_spanInv,0
user_user_activity_rate_f1_resInv,0
user_user_activity_frequency_f5,0
user_user_activity_frequency_f3,0
user_user_activity_frequency_f1,0
user_user_activity_day_var_b8,0
user_user_activity_day_var_b5,0
user_user_activity_day_f5_spanInv,0
user_user_activity_day_f5_resInv,0
user_user_activity_day_f5,0
user_user_activity_day_f3_spanResInv,0
user_user_activity_day_f3_spanInv,0
user_user_activity_day_f3_resInv,0
user_user_activity_day_f3,0
user_user_activity_day_b6_resInv,0
user_user_activity_day_b6,0
user_user_activity_day_b4,0
user_user_activity_day_b2,0
user_user_activity_day_b10,0
user_user_activity_day_b0,0
user_page_ratio2,0
user_page_ratio0,0
user_author_rate_f5_spanResInv,0
user_author_rate_f5_spanInv,0
user_author_rate_f5_resInv,0
user_author_rate_f5,0
user_author_rate_f3_spanResInv,0
user_author_rate_f3_spanInv,0
user_author_rate_f3_resInv,0
user_author_rate_f3,0
user_author_rate_f1_spanResInv,0
user_author_rate_f1_spanInv,0
user_author_rate_f1_resInv,0
user_author_rate_f1,0
user_author_rate_b8_resInv,0
user_author_rate_b8,0
user_author_rate_b6_resInv,0
user_author_rate_b6,0
user_author_rate_b4_resInv,0
user_author_rate_b4,0
user_author_rate_b2_resInv,0
user_author_rate_b2,0
user_author_rate_b12_resInv,0
user_author_rate_b12,0
user_author_rate_b10_resInv,0
user_author_rate_b10,0
user_author_rate_b0_resInv,0
user_author_rate_b0,0
user_app_launch_rate_f5_resInv,0
user_app_launch_rate_f5,0
user_app_launch_rate_f3,0
user_app_launch_rate_f1_resInv,0
user_app_launch_rate_f1,0
user_app_launch_rate_b4_resInv,0
user_app_launch_rate_b10,0
user_app_launch_rate_b0,0
user_action_type_ratio5,0
user_action_type_ratio4,0
user_action_type_num,0
register_type_device_ratio,0
register_day_register_type_device_ratio,0
register_day_device_type_register_ratio,0
register_day_device_rate,0
feature importance of lgb for kuaishou ,2018-06-20_11-27
user_app_launch_var,169
user_app_launch_count_b1,155
user_activity_var,138
user_activity_rate,103
user_activity_day_var,97
user_activity_day_ratio,96
user_app_launch_count_rb1,89
user_activity_count_b1,87
user_app_launch_rate,81
user_page_ratio3,79
user_app_launch_ratio,77
user_app_launch_count_b10,77
user_activity_count_b4,77
user_app_launch_count_b5,75
user_app_launch_count_b2,73
user_activity_day_rate,70
user_activity_count_b5,68
register_type_device,59
user_app_launch_gap,57
user_app_launch_count_b3,57
user_app_launch_count_b6,52
user_activity_count_b6,52
register_type_ratio,51
user_activity_count_b8,50
user_activity_count_b10,50
register_day_type_ratio,47
user_app_launch_count_b9,46
user_video_num,41
user_activity_count_f1,40
user_app_launch_count_b4,38
register_day_device_ratio,37
user_app_launch_count_rf1,36
user_video_create_count_rb7,30
user_app_launch_count_rb10,30
user_action_type_ratio1,30
user_action_type_ratio0,30
user_action_type_ratio3,29
user_app_launch_count_b8,27
device_type_ratio,27
user_author_num_ratio,25
register_day_type_rate,24
user_activity_count_b3,23
user_activity_count_b7,22
user_activity_count_rb5,20
user_activity_count_rb1,19
user_activity_count_b9,18
user_action_type_ratio2,18
user_app_launch_count_rf7,16
