,user_id,register_day,register_type,device_type
user_activity_gap,1.2681359309250886
register_type_device,0.9897446725391036
user_video_create_day,0.26864304177012566
user_action_type_num,0.14695228282459646
device_type_register,0.059226766071565295
user_video_create_gap,0.0
user_author_id_video_num,0.0
feature importance of catboost for kuaishou-crt,2018-06-01_16-34
register_day_rate,26.713065134588454
user_activity_day_rate,22.75723445888988
user_app_launch_register_mean_time,8.686648960861977
user_activity_rate,6.658411966614025
user_app_launch_rate,6.519628820395434
user_video_id_num,5.302533306288453
user_author_id_num,3.813644381837583
device_type_rate,3.785522700626278
user_app_launch_gap,3.169464191476966
user_activity_register_mean_time,3.100698245080533
user_activity_frequency,2.729852753328192
user_activity_gap,1.622028687742579
register_type_rate,1.3145720600737032
user_page_num,1.1441864485675013
device_type_register,0.7833748645568575
register_type_device,0.5139272861607334
user_video_create_rate,0.35894196805202494
user_video_create_register_mean_time,0.3577361940137581
user_action_type_num,0.3382097617313268
user_video_create_day,0.20705784518802411
user_video_create_gap,0.1135818796815825
user_author_id_video_num,0.009678084244147594
feature importance of catboost for tencent-crt,2018-06-01_17-07
register_day_rate,1341
user_activity_day_rate,629
user_app_launch_rate,439
user_app_launch_register_mean_time,202
user_video_id_num,181
user_activity_rate,151
device_type_rate,140
user_app_launch_gap,134
user_activity_gap,87
user_activity_register_mean_time,85
register_type_rate,71
user_activity_frequency,59
user_author_id_num,40
user_page_num,18
register_type_device,13
device_type_register,9
user_video_create_register_mean_time,1
user_video_create_rate,0
user_video_create_gap,0
user_video_create_day,0
user_author_id_video_num,0
user_action_type_num,0
feature importance of catboost for kuaishou-aup,2018-06-01_17-41
user_app_launch_rate,29.83692868722796
register_day_rate,29.67519176860371
user_activity_day_rate,14.872407919049751
user_app_launch_register_mean_time,5.2791994730296725
user_video_id_num,4.127328461740562
user_app_launch_gap,3.6525889759014705
user_activity_rate,2.898216263338982
user_activity_register_mean_time,1.9234326721617943
device_type_rate,1.9193355360004019
user_activity_gap,1.3302314373730835
register_type_device,1.225506649094276
user_page_num,1.1073853200892891
register_type_rate,0.8909048737417907
user_author_id_num,0.8010491898056931
user_activity_frequency,0.4602927728415743
user_video_create_register_mean_time,0.0
user_video_create_rate,0.0
user_video_create_gap,0.0
user_video_create_day,0.0
user_author_id_video_num,0.0
user_action_type_num,0.0
device_type_register,0.0
the best params for lightgbm: 
boosting_type,dart
colsample_bytree,0.8390511853032302
learning_rate,1.5361894924134626e-06
max_bin,114
max_depth,3
min_child_samples,242
min_child_weight,1.3208262974524891
min_split_gain,0.0004045394021981179
n_estimators,523
num_leaves,24
reg_alpha,380.3579587714164
reg_lambda,457.8154099338876
scale_pos_weight,0.9251814185361402
subsample,0.6725959013932129
the best score for lightgbm: ,0.8865345317932476,2018-06-01_18-50
feature importance of catboost for tencent-crt,2018-06-01_18-50
user_activity_day_rate,881
user_app_launch_rate,454
user_video_id_num,425
register_type_device,408
user_activity_rate,121
user_activity_register_mean_time,107
user_app_launch_gap,104
user_activity_gap,80
user_author_id_num,43
user_app_launch_register_mean_time,20
user_activity_frequency,5
user_page_num,1
user_video_create_register_mean_time,0
user_video_create_rate,0
user_video_create_gap,0
user_video_create_day,0
user_author_id_video_num,0
user_action_type_num,0
register_type_rate,0
register_day_rate,0
device_type_register,0
device_type_rate,0
feature importance of catboost for kuaishou-crt,2018-06-01_22-21
register_day_rate,29.79218788654718
user_activity_day_rate,19.489483700905854
user_app_launch_rate,19.321111783683058
user_app_launch_register_mean_time,5.540247253884338
user_video_id_num,4.761774028380381
user_activity_register_mean_time,3.6742084004794617
user_app_launch_gap,2.8952576744430445
device_type_rate,2.466192734492491
user_activity_gap,2.39738482972439
user_author_id_num,1.8274174255674953
user_activity_frequency,1.7523079646825706
user_activity_rate,1.3298586237999175
register_type_rate,1.1685391172425224
